"species";"lon";"lat";"municipality";"adm1"
"181";"Euterpe edulis";-39.997222;-19.156111;"Linhares";"Espírito Santo"
"183";"Euterpe edulis";-40.038889;-19.160556;"Linhares";"Espírito Santo"
"185";"Euterpe edulis";-35.9433;-9.3067;"Murici";"Alagoas"
"186";"Euterpe edulis";-40.553056;-19.9075;"Santa Teresa";"Espírito Santo"
"187";"Euterpe edulis";-40.553056;-19.9075;"Santa Teresa";"Espírito Santo"
"188";"Euterpe edulis";-40.553056;-19.9075;"Santa Teresa";"Espírito Santo"
"190";"Euterpe edulis";-36.0319;-9.1628;"União dos Palmares";"Alagoas"
"191";"Euterpe edulis";-35.88;-9.221528;"União dos Palmares";"Alagoas"
"196";"Euterpe edulis";-39.151667;-14.024444;"Camamu";"Bahia"
"201";"Euterpe edulis";-39.0675;-15.167778;"Una";"Bahia"
"203";"Euterpe edulis";-39.083333;-15.15;"Una";"Bahia"
"205";"Euterpe edulis";-39.083333;-15.15;"Una";"Bahia"
"209";"Euterpe edulis";-39.083333;-15.15;"Una";"Bahia"
"241";"Euterpe edulis";-39.016667;-16.266667;"Santa Cruz Cabrália";"Bahia"
"285";"Euterpe edulis";-50.1085;-29.601861;"Terra de Areia";"Rio Grande do Sul"
"294";"Euterpe edulis";-45.070833;-23.434167;"Ubatuba";"São Paulo"
"296";"Euterpe edulis";-157.85;21.45;"Kane'ohe";"Hawaii"
"297";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"298";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"299";"Euterpe edulis";-47.925556;-24.387778;"Sete Barras";"São Paulo"
"300";"Euterpe edulis";-47.925556;-24.387778;"Sete Barras";"São Paulo"
"301";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"302";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"303";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"305";"Euterpe edulis";-48.033333;-24.266667;"Sete Barras";"São Paulo"
"307";"Euterpe edulis";-41.416667;-12.45;"Lençóis";"Bahia"
"311";"Euterpe edulis";-48.283333;-13.716667;"Minaçu";"Goiás"
"314";"Euterpe edulis";-46.774444;-23.9;"São Paulo";"São Paulo"
"315";"Euterpe edulis";-44.566667;-22.25;"Itatiaia";"Rio de Janeiro"
"317";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"321";"Euterpe edulis";-41.198333;-20.914444;"Atílio Vivácqua";"Espírito Santo"
"323";"Euterpe edulis";-47.216667;-24.05;"Miracatu";"São Paulo"
"325";"Euterpe edulis";-39.325278;-16.4625;"PORTO SEGURO";"Bahia"
"329";"Euterpe edulis";-42.25;-22.5;"Silva Jardim";"Rio de Janeiro"
"336";"Euterpe edulis";-39.069167;-14.781944;"IlhÃ©us";"Bahia"
"337";"Euterpe edulis";-46.774444;-23.9;"São Paulo";"São Paulo"
"340";"Euterpe edulis";-42.25;-22.5;"Silva Jardim";"Rio de Janeiro"
"342";"Euterpe edulis";-42.25;-22.5;"Silva Jardim";"Rio de Janeiro"
"343";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"344";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"346";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"349";"Euterpe edulis";-41.916667;-13.25;"Abaíra";"Bahia"
"350";"Euterpe edulis";-38.351081;-19.133642;"Conceição da Barra";"Espírito Santo"
"351";"Euterpe edulis";-42.033333;-20.766667;"Carangola";"Minas Gerais"
"352";"Euterpe edulis";-42.033333;-20.766667;"Carangola";"Minas Gerais"
"353";"Euterpe edulis";-42.033333;-20.766667;"Carangola";"Minas Gerais"
"354";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"358";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"375";"Euterpe edulis";-48.3;-13.833333;"Colinas do Sul";"Goiás"
"377";"Euterpe edulis";-48.3;-13.833333;"Colinas do Sul";"Goiás"
"380";"Euterpe edulis";-42.5;-22.55;"Nova Friburgo";"Rio de Janeiro"
"388";"Euterpe edulis";-40.063611;-19.1375;"Linhares";"Espírito Santo"
"391";"Euterpe edulis";-38.9;-15.85;"BELMONTE";"Bahia"
"392";"Euterpe edulis";-39.7;-17.483333;"TEIXEIRA DE FREITAS";"Bahia"
"396";"Euterpe edulis";-39.65;-18.083333;"MUCURÍ";"Bahia"
"398";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"402";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"403";"Euterpe edulis";-42.531111;-22.281944;"Nova Friburgo";"Rio de Janeiro"
"406";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"407";"Euterpe edulis";-40.530278;-19.971389;"Santa Teresa";"Espírito Santo"
"416";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"419";"Euterpe edulis";-40.632778;-19.915;"Santa Teresa";"Espírito Santo"
"422";"Euterpe edulis";-40.924167;-20.176944;"Santa Maria de Jetibá";"Espírito Santo"
"423";"Euterpe edulis";-40.924167;-20.176944;"Santa Maria de Jetibá";"Espírito Santo"
"426";"Euterpe edulis";-40.063611;-19.1375;"Linhares";"Espírito Santo"
"430";"Euterpe edulis";-39.65;-18.083333;"MUCURÍ";"Bahia"
